"","Date","Precip.MM","MonthNumber","Month","Year","Season"
"155",1723-11-28,96.7,11,"Nov",1723,"Autumn"
"156",1723-12-28,101.9,12,"Dec",1723,"Winter"
"157",1724-01-28,134.6,1,"Jan",1724,"Winter"
"158",1724-02-28,85.6,2,"Feb",1724,"Winter"
"159",1724-03-28,91.8,3,"Mar",1724,"Spring"
"160",1724-04-28,69.7,4,"Apr",1724,"Spring"
"161",1724-05-28,62.4,5,"May",1724,"Spring"
"162",1724-06-28,63.6,6,"Jun",1724,"Summer"
"163",1724-07-28,105.2,7,"Jul",1724,"Summer"
"164",1724-08-28,179.9,8,"Aug",1724,"Summer"
"165",1724-09-28,111.3,9,"Sep",1724,"Autumn"
"166",1724-10-28,51.4,10,"Oct",1724,"Autumn"
"167",1724-11-28,68.5,11,"Nov",1724,"Autumn"
"168",1724-12-28,199.4,12,"Dec",1724,"Winter"
"169",1725-01-28,111.6,1,"Jan",1725,"Winter"
"170",1725-02-28,50.4,2,"Feb",1725,"Winter"
"171",1725-03-28,46.8,3,"Mar",1725,"Spring"
"172",1725-04-28,108,4,"Apr",1725,"Spring"
"173",1725-05-28,88.8,5,"May",1725,"Spring"
"174",1725-06-28,129.6,6,"Jun",1725,"Summer"
"175",1725-07-28,103.2,7,"Jul",1725,"Summer"
"176",1725-08-28,135.6,8,"Aug",1725,"Summer"
"177",1725-09-28,118.8,9,"Sep",1725,"Autumn"
"178",1725-10-28,90,10,"Oct",1725,"Autumn"
"179",1725-11-28,108,11,"Nov",1725,"Autumn"
"180",1725-12-28,109.2,12,"Dec",1725,"Winter"
"181",1726-01-28,119.1,1,"Jan",1726,"Winter"
"182",1726-02-28,83.8,2,"Feb",1726,"Winter"
"183",1726-03-28,49.6,3,"Mar",1726,"Spring"
"184",1726-04-28,61.7,4,"Apr",1726,"Spring"
"185",1726-05-28,73.9,5,"May",1726,"Spring"
"186",1726-06-28,101.4,6,"Jun",1726,"Summer"
"187",1726-07-28,88.2,7,"Jul",1726,"Summer"
"188",1726-08-28,76.1,8,"Aug",1726,"Summer"
"189",1726-09-28,153.2,9,"Sep",1726,"Autumn"
"190",1726-10-28,92.6,10,"Oct",1726,"Autumn"
"191",1726-11-28,103.6,11,"Nov",1726,"Autumn"
"192",1726-12-28,99.2,12,"Dec",1726,"Winter"
"193",1727-01-28,98,1,"Jan",1727,"Winter"
"194",1727-02-28,105,2,"Feb",1727,"Winter"
"195",1727-03-28,53.6,3,"Mar",1727,"Spring"
"196",1727-04-28,105,4,"Apr",1727,"Spring"
"197",1727-05-28,116.6,5,"May",1727,"Spring"
"198",1727-06-28,86.3,6,"Jun",1727,"Summer"
"199",1727-07-28,93.3,7,"Jul",1727,"Summer"
"200",1727-08-28,68.8,8,"Aug",1727,"Summer"
"201",1727-09-28,119,9,"Sep",1727,"Autumn"
"202",1727-10-28,123.6,10,"Oct",1727,"Autumn"
"203",1727-11-28,106.1,11,"Nov",1727,"Autumn"
"204",1727-12-28,91,12,"Dec",1727,"Winter"
"205",1728-01-28,122.7,1,"Jan",1728,"Winter"
"206",1728-02-28,52.4,2,"Feb",1728,"Winter"
"207",1728-03-28,92.9,3,"Mar",1728,"Spring"
"208",1728-04-28,94.1,4,"Apr",1728,"Spring"
"209",1728-05-28,69.1,5,"May",1728,"Spring"
"210",1728-06-28,140.6,6,"Jun",1728,"Summer"
"211",1728-07-28,82.2,7,"Jul",1728,"Summer"
"212",1728-08-28,81,8,"Aug",1728,"Summer"
"213",1728-09-28,110.8,9,"Sep",1728,"Autumn"
"214",1728-10-28,94.1,10,"Oct",1728,"Autumn"
"215",1728-11-28,131,11,"Nov",1728,"Autumn"
"216",1728-12-28,120.3,12,"Dec",1728,"Winter"
"217",1729-01-28,110.6,1,"Jan",1729,"Winter"
"218",1729-02-28,52,2,"Feb",1729,"Winter"
"219",1729-03-28,69.7,3,"Mar",1729,"Spring"
"220",1729-04-28,26.5,4,"Apr",1729,"Spring"
"221",1729-05-28,69.7,5,"May",1729,"Spring"
"222",1729-06-28,82.9,6,"Jun",1729,"Summer"
"223",1729-07-28,68.6,7,"Jul",1729,"Summer"
"224",1729-08-28,80.7,8,"Aug",1729,"Summer"
"225",1729-09-28,111.7,9,"Sep",1729,"Autumn"
"226",1729-10-28,94,10,"Oct",1729,"Autumn"
"227",1729-11-28,182.4,11,"Nov",1729,"Autumn"
"228",1729-12-28,157,12,"Dec",1729,"Winter"
"229",1730-01-28,73.4,1,"Jan",1730,"Winter"
"230",1730-02-28,127.5,2,"Feb",1730,"Winter"
"231",1730-03-28,92.6,3,"Mar",1730,"Spring"
"232",1730-04-28,61.4,4,"Apr",1730,"Spring"
"233",1730-05-28,117.9,5,"May",1730,"Spring"
"234",1730-06-28,139.5,6,"Jun",1730,"Summer"
"235",1730-07-28,99.9,7,"Jul",1730,"Summer"
"236",1730-08-28,80.6,8,"Aug",1730,"Summer"
"237",1730-09-28,72.2,9,"Sep",1730,"Autumn"
"238",1730-10-28,129.9,10,"Oct",1730,"Autumn"
"239",1730-11-28,108.3,11,"Nov",1730,"Autumn"
"240",1730-12-28,99.9,12,"Dec",1730,"Winter"
"241",1731-01-28,94.3,1,"Jan",1731,"Winter"
"242",1731-02-28,96.1,2,"Feb",1731,"Winter"
"243",1731-03-28,28.7,3,"Mar",1731,"Spring"
"244",1731-04-28,26.9,4,"Apr",1731,"Spring"
"245",1731-05-28,50.3,5,"May",1731,"Spring"
"246",1731-06-28,35.9,6,"Jun",1731,"Summer"
"247",1731-07-28,49.4,7,"Jul",1731,"Summer"
"248",1731-08-28,80.8,8,"Aug",1731,"Summer"
"249",1731-09-28,71.9,9,"Sep",1731,"Autumn"
"250",1731-10-28,113.2,10,"Oct",1731,"Autumn"
"251",1731-11-28,131.1,11,"Nov",1731,"Autumn"
"252",1731-12-28,119.5,12,"Dec",1731,"Winter"
"253",1732-01-28,122.5,1,"Jan",1732,"Winter"
"254",1732-02-28,96.7,2,"Feb",1732,"Winter"
"255",1732-03-28,93.3,3,"Mar",1732,"Spring"
"256",1732-04-28,61.8,4,"Apr",1732,"Spring"
"257",1732-05-28,118,5,"May",1732,"Spring"
"258",1732-06-28,36,6,"Jun",1732,"Summer"
"259",1732-07-28,98.9,7,"Jul",1732,"Summer"
"260",1732-08-28,80.9,8,"Aug",1732,"Summer"
"261",1732-09-28,111.3,9,"Sep",1732,"Autumn"
"262",1732-10-28,130.4,10,"Oct",1732,"Autumn"
"263",1732-11-28,55.1,11,"Nov",1732,"Autumn"
"264",1732-12-28,119.2,12,"Dec",1732,"Winter"
"265",1733-01-28,149,1,"Jan",1733,"Winter"
"266",1733-02-28,127.2,2,"Feb",1733,"Winter"
"267",1733-03-28,93.3,3,"Mar",1733,"Spring"
"268",1733-04-28,61.8,4,"Apr",1733,"Spring"
"269",1733-05-28,23,5,"May",1733,"Spring"
"270",1733-06-28,60.6,6,"Jun",1733,"Summer"
"271",1733-07-28,49.7,7,"Jul",1733,"Summer"
"272",1733-08-28,116.3,8,"Aug",1733,"Summer"
"273",1733-09-28,111.5,9,"Sep",1733,"Autumn"
"274",1733-10-28,94.5,10,"Oct",1733,"Autumn"
"275",1733-11-28,130.9,11,"Nov",1733,"Autumn"
"276",1733-12-28,193.9,12,"Dec",1733,"Winter"
"277",1734-01-28,94.3,1,"Jan",1734,"Winter"
"278",1734-02-28,71.9,2,"Feb",1734,"Winter"
"279",1734-03-28,102.6,3,"Mar",1734,"Spring"
"280",1734-04-28,44.8,4,"Apr",1734,"Spring"
"281",1734-05-28,117.9,5,"May",1734,"Spring"
"282",1734-06-28,95.5,6,"Jun",1734,"Summer"
"283",1734-07-28,127.4,7,"Jul",1734,"Summer"
"284",1734-08-28,81.4,8,"Aug",1734,"Summer"
"285",1734-09-28,110.8,9,"Sep",1734,"Autumn"
"286",1734-10-28,93.2,10,"Oct",1734,"Autumn"
"287",1734-11-28,82.5,11,"Nov",1734,"Autumn"
"288",1734-12-28,156.8,12,"Dec",1734,"Winter"
"289",1735-01-28,122.7,1,"Jan",1735,"Winter"
"290",1735-02-28,96,2,"Feb",1735,"Winter"
"291",1735-03-28,102.7,3,"Mar",1735,"Spring"
"292",1735-04-28,93.4,4,"Apr",1735,"Spring"
"293",1735-05-28,50.7,5,"May",1735,"Spring"
"294",1735-06-28,96,6,"Jun",1735,"Summer"
"295",1735-07-28,128,7,"Jul",1735,"Summer"
"296",1735-08-28,116,8,"Aug",1735,"Summer"
"297",1735-09-28,110.7,9,"Sep",1735,"Autumn"
"298",1735-10-28,130.7,10,"Oct",1735,"Autumn"
"299",1735-11-28,166.7,11,"Nov",1735,"Autumn"
"300",1735-12-28,120,12,"Dec",1735,"Winter"
"301",1736-01-28,149.8,1,"Jan",1736,"Winter"
"302",1736-02-28,96.4,2,"Feb",1736,"Winter"
"303",1736-03-28,68.7,3,"Mar",1736,"Spring"
"304",1736-04-28,93.3,4,"Apr",1736,"Spring"
"305",1736-05-28,99.5,5,"May",1736,"Spring"
"306",1736-06-28,20.5,6,"Jun",1736,"Summer"
"307",1736-07-28,49.2,7,"Jul",1736,"Summer"
"308",1736-08-28,81,8,"Aug",1736,"Summer"
"309",1736-09-28,71.8,9,"Sep",1736,"Autumn"
"310",1736-10-28,94.4,10,"Oct",1736,"Autumn"
"311",1736-11-28,81,11,"Nov",1736,"Autumn"
"312",1736-12-28,120,12,"Dec",1736,"Winter"
"313",1737-01-28,149.4,1,"Jan",1737,"Winter"
"314",1737-02-28,127.3,2,"Feb",1737,"Winter"
"315",1737-03-28,93,3,"Mar",1737,"Spring"
"316",1737-04-28,94.1,4,"Apr",1737,"Spring"
"317",1737-05-28,49.8,5,"May",1737,"Spring"
"318",1737-06-28,60.9,6,"Jun",1737,"Summer"
"319",1737-07-28,49.8,7,"Jul",1737,"Summer"
"320",1737-08-28,116.2,8,"Aug",1737,"Summer"
"321",1737-09-28,71.9,9,"Sep",1737,"Autumn"
"322",1737-10-28,94.1,10,"Oct",1737,"Autumn"
"323",1737-11-28,80.8,11,"Nov",1737,"Autumn"
"324",1737-12-28,119.5,12,"Dec",1737,"Winter"
"325",1738-01-28,149.7,1,"Jan",1738,"Winter"
"326",1738-02-28,72.9,2,"Feb",1738,"Winter"
"327",1738-03-28,69.1,3,"Mar",1738,"Spring"
"328",1738-04-28,94.7,4,"Apr",1738,"Spring"
"329",1738-05-28,117.7,5,"May",1738,"Spring"
"330",1738-06-28,96,6,"Jun",1738,"Summer"
"331",1738-07-28,48.6,7,"Jul",1738,"Summer"
"332",1738-08-28,140.8,8,"Aug",1738,"Summer"
"333",1738-09-28,111.3,9,"Sep",1738,"Autumn"
"334",1738-10-28,152.3,10,"Oct",1738,"Autumn"
"335",1738-11-28,107.5,11,"Nov",1738,"Autumn"
"336",1738-12-28,119,12,"Dec",1738,"Winter"
"337",1739-01-28,122.9,1,"Jan",1739,"Winter"
"338",1739-02-28,96.1,2,"Feb",1739,"Winter"
"339",1739-03-28,48.1,3,"Mar",1739,"Spring"
"340",1739-04-28,61.5,4,"Apr",1739,"Spring"
"341",1739-05-28,69.3,5,"May",1739,"Spring"
"342",1739-06-28,96.1,6,"Jun",1739,"Summer"
"343",1739-07-28,127.4,7,"Jul",1739,"Summer"
"344",1739-08-28,116.2,8,"Aug",1739,"Summer"
"345",1739-09-28,145.3,9,"Sep",1739,"Autumn"
"346",1739-10-28,70.4,10,"Oct",1739,"Autumn"
"347",1739-11-28,108.4,11,"Nov",1739,"Autumn"
"348",1739-12-28,55.9,12,"Dec",1739,"Winter"
"349",1740-01-28,35,1,"Jan",1740,"Winter"
"350",1740-02-28,52.8,2,"Feb",1740,"Winter"
"351",1740-03-28,48.2,3,"Mar",1740,"Spring"
"352",1740-04-28,26.4,4,"Apr",1740,"Spring"
"353",1740-05-28,69.9,5,"May",1740,"Spring"
"354",1740-06-28,36.5,6,"Jun",1740,"Summer"
"355",1740-07-28,68.4,7,"Jul",1740,"Summer"
"356",1740-08-28,100.3,8,"Aug",1740,"Summer"
"357",1740-09-28,111.1,9,"Sep",1740,"Autumn"
"358",1740-10-28,70.7,10,"Oct",1740,"Autumn"
"359",1740-11-28,80.8,11,"Nov",1740,"Autumn"
"360",1740-12-28,76.9,12,"Dec",1740,"Winter"
"361",1741-01-28,109.8,1,"Jan",1741,"Winter"
"362",1741-02-28,52.9,2,"Feb",1741,"Winter"
"363",1741-03-28,28.9,3,"Mar",1741,"Spring"
"364",1741-04-28,26.4,4,"Apr",1741,"Spring"
"365",1741-05-28,22.3,5,"May",1741,"Spring"
"366",1741-06-28,61.1,6,"Jun",1741,"Summer"
"367",1741-07-28,68.5,7,"Jul",1741,"Summer"
"368",1741-08-28,66.1,8,"Aug",1741,"Summer"
"369",1741-09-28,91.7,9,"Sep",1741,"Autumn"
"370",1741-10-28,113.1,10,"Oct",1741,"Autumn"
"371",1741-11-28,108.2,11,"Nov",1741,"Autumn"
"372",1741-12-28,76.8,12,"Dec",1741,"Winter"
"373",1742-01-28,123.3,1,"Jan",1742,"Winter"
"374",1742-02-28,72.5,2,"Feb",1742,"Winter"
"375",1742-03-28,29.2,3,"Mar",1742,"Spring"
"376",1742-04-28,26.4,4,"Apr",1742,"Spring"
"377",1742-05-28,49.9,5,"May",1742,"Spring"
"378",1742-06-28,61.2,6,"Jun",1742,"Summer"
"379",1742-07-28,81.9,7,"Jul",1742,"Summer"
"380",1742-08-28,65.9,8,"Aug",1742,"Summer"
"381",1742-09-28,71.5,9,"Sep",1742,"Autumn"
"382",1742-10-28,151.6,10,"Oct",1742,"Autumn"
"383",1742-11-28,108.3,11,"Nov",1742,"Autumn"
"384",1742-12-28,99.8,12,"Dec",1742,"Winter"
"385",1743-01-28,149.9,1,"Jan",1743,"Winter"
"386",1743-02-28,96.2,2,"Feb",1743,"Winter"
"387",1743-03-28,68.9,3,"Mar",1743,"Spring"
"388",1743-04-28,94.2,4,"Apr",1743,"Spring"
"389",1743-05-28,69.9,5,"May",1743,"Spring"
"390",1743-06-28,36.5,6,"Jun",1743,"Summer"
"391",1743-07-28,99.3,7,"Jul",1743,"Summer"
"392",1743-08-28,49.6,8,"Aug",1743,"Summer"
"393",1743-09-28,71.9,9,"Sep",1743,"Autumn"
"394",1743-10-28,113.4,10,"Oct",1743,"Autumn"
"395",1743-11-28,107.4,11,"Nov",1743,"Autumn"
"396",1743-12-28,55.7,12,"Dec",1743,"Winter"
"397",1744-01-28,73.8,1,"Jan",1744,"Winter"
"398",1744-02-28,96.5,2,"Feb",1744,"Winter"
"399",1744-03-28,102.1,3,"Mar",1744,"Spring"
"400",1744-04-28,62.4,4,"Apr",1744,"Spring"
"401",1744-05-28,49.9,5,"May",1744,"Spring"
"402",1744-06-28,61.3,6,"Jun",1744,"Summer"
"403",1744-07-28,82.8,7,"Jul",1744,"Summer"
"404",1744-08-28,140.7,8,"Aug",1744,"Summer"
"405",1744-09-28,145.3,9,"Sep",1744,"Autumn"
"406",1744-10-28,152.1,10,"Oct",1744,"Autumn"
"407",1744-11-28,131.7,11,"Nov",1744,"Autumn"
"408",1744-12-28,36.3,12,"Dec",1744,"Winter"
"409",1745-01-28,122.7,1,"Jan",1745,"Winter"
"410",1745-02-28,52.1,2,"Feb",1745,"Winter"
"411",1745-03-28,47.8,3,"Mar",1745,"Spring"
"412",1745-04-28,61.9,4,"Apr",1745,"Spring"
"413",1745-05-28,139,5,"May",1745,"Spring"
"414",1745-06-28,95.6,6,"Jun",1745,"Summer"
"415",1745-07-28,68.4,7,"Jul",1745,"Summer"
"416",1745-08-28,141.2,8,"Aug",1745,"Summer"
"417",1745-09-28,25,9,"Sep",1745,"Autumn"
"418",1745-10-28,152.1,10,"Oct",1745,"Autumn"
"419",1745-11-28,81.5,11,"Nov",1745,"Autumn"
"420",1745-12-28,98.9,12,"Dec",1745,"Winter"
"421",1746-01-28,110.1,1,"Jan",1746,"Winter"
"422",1746-02-28,38,2,"Feb",1746,"Winter"
"423",1746-03-28,93.1,3,"Mar",1746,"Spring"
"424",1746-04-28,45,4,"Apr",1746,"Spring"
"425",1746-05-28,22,5,"May",1746,"Spring"
"426",1746-06-28,96.1,6,"Jun",1746,"Summer"
"427",1746-07-28,156.1,7,"Jul",1746,"Summer"
"428",1746-08-28,50,8,"Aug",1746,"Summer"
"429",1746-09-28,92.1,9,"Sep",1746,"Autumn"
"430",1746-10-28,70.1,10,"Oct",1746,"Autumn"
"431",1746-11-28,108.1,11,"Nov",1746,"Autumn"
"432",1746-12-28,120.1,12,"Dec",1746,"Winter"
"433",1747-01-28,149.5,1,"Jan",1747,"Winter"
"434",1747-02-28,72.7,2,"Feb",1747,"Winter"
"435",1747-03-28,48.2,3,"Mar",1747,"Spring"
"436",1747-04-28,44.9,4,"Apr",1747,"Spring"
"437",1747-05-28,69.5,5,"May",1747,"Spring"
"438",1747-06-28,61.3,6,"Jun",1747,"Summer"
"439",1747-07-28,49,7,"Jul",1747,"Summer"
"440",1747-08-28,49.8,8,"Aug",1747,"Summer"
"441",1747-09-28,111.1,9,"Sep",1747,"Autumn"
"442",1747-10-28,70.3,10,"Oct",1747,"Autumn"
"443",1747-11-28,54.7,11,"Nov",1747,"Autumn"
"444",1747-12-28,36,12,"Dec",1747,"Winter"
"445",1748-01-28,74,1,"Jan",1748,"Winter"
"446",1748-02-28,52.6,2,"Feb",1748,"Winter"
"447",1748-03-28,92.7,3,"Mar",1748,"Spring"
"448",1748-04-28,62.4,4,"Apr",1748,"Spring"
"449",1748-05-28,99,5,"May",1748,"Spring"
"450",1748-06-28,36.6,6,"Jun",1748,"Summer"
"451",1748-07-28,99,7,"Jul",1748,"Summer"
"452",1748-08-28,81.1,8,"Aug",1748,"Summer"
"453",1748-09-28,71.3,9,"Sep",1748,"Autumn"
"454",1748-10-28,113.2,10,"Oct",1748,"Autumn"
"455",1748-11-28,54.4,11,"Nov",1748,"Autumn"
"456",1748-12-28,55.3,12,"Dec",1748,"Winter"
"457",1749-01-28,149.6,1,"Jan",1749,"Winter"
"458",1749-02-28,51.7,2,"Feb",1749,"Winter"
"459",1749-03-28,69.8,3,"Mar",1749,"Spring"
"460",1749-04-28,94.3,4,"Apr",1749,"Spring"
"461",1749-05-28,49.9,5,"May",1749,"Spring"
"462",1749-06-28,36.3,6,"Jun",1749,"Summer"
"463",1749-07-28,82.5,7,"Jul",1749,"Summer"
"464",1749-08-28,100.7,8,"Aug",1749,"Summer"
"465",1749-09-28,91.6,9,"Sep",1749,"Autumn"
"466",1749-10-28,70.7,10,"Oct",1749,"Autumn"
